Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,,United States,,31980,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,United States,,24750,,
AEM,Agnico Eagle Mines Limited Common Stock,30649923699,Canada,,3864226,,
AEMD,Aethlon Medical Inc. Common Stock,3799579,United States,,2339,Miscellaneous,Diversified Commercial Services
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,106445309,United States,,16414,Consumer Discretionary,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrants,1782577,United States,,1234,Consumer Discretionary,Durable Goods
AEO,American Eagle Outfitters Inc. Common Stock,4465595269,United States,,3243099,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,AEON Biopharma Inc. Class A Common Stock,268300892,United States,,44044,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,American Electric Power Company Inc. Common Stock,42573594772,United States,,3136543,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,16705686360,Netherlands,2006,968996,Consumer Discretionary,Diversified Commercial Services
AERT,Aeries Technology Inc. Class A Ordinary Share,32956101,United States,2021,511,Consumer Discretionary,Professional Services
AERTW,Aeries Technology Inc. Warrant,796569,United States,2021,8071,Consumer Discretionary,Professional Services
AES,The AES Corporation Common Stock,11478239261,United States,,10442842,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,2208564895,United States,2023,1383640,Industrials,Metal Fabrications
AEVA,Aeva Technologies Inc. Common Stock,181513028,United States,2020,256600,Consumer Discretionary,Auto Parts:O.E.M.
AEYE,AudioEye Inc. Common Stock,155665415,United States,,217277,Technology,EDP Services
AEZS,Aeterna Zentaris Inc. Common Stock,9517517,Canada,,5967,Health Care,Biotechnology: Pharmaceutical Preparations
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,0,Singapore,2022,28132,Finance,Blank Checks
AFB,AllianceBernstein National Municipal Income Fund Inc,0,United States,2002,55505,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),105778113,United States,2017,498,Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,239531619,United States,2021,113332,Real Estate,Real Estate Investment Trusts
AFG,American Financial Group Inc. Common Stock,10554758937,United States,,256818,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,1938441380,United States,2019,8506,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,1719247750,United States,2019,10818,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,1905813321,United States,2020,8135,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,1530172328,United States,2020,11323,,
AFIB,Acutus Medical Inc. Common Stock,5063600,United States,2020,213481,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,0,United States,2024,2609,,
AFJKR,Aimei Health Technology Co. Ltd Right,0,United States,2024,10000,,
AFJKU,Aimei Health Technology Co. Ltd Unit,0,United States,2023,3,,
AFL,AFLAC Incorporated Common Stock,46316458489,United States,,2437373,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,83598772,Germany,2014,58451,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,276057600,Gibraltar,,3010,Consumer Staples,Packaged Foods
AFRIW,Forafric Global PLC Warrants,72264886,Gibraltar,,1303,Consumer Staples,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,9531510167,United States,2021,5158299,Consumer Discretionary,Business Services
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,0,,2011,132341,Finance,Investment Managers
AFYA,Afya Limited Class A Common Shares,1583915827,Brazil,2019,95270,Real Estate,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),2151319167,Canada,,10936218,,
AGAE,Allied Gaming & Entertainment Inc. Common Stock,39280761,United States,2017,24828,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGBA,AGBA Group Holding Limited Ordinary Share,31028635,Hong Kong,2019,326722,Finance,Investment Managers
AGBAW,AGBA Group Holding Limited Warrant,1041479,Hong Kong,2019,2705,Finance,Investment Managers
AGCO,AGCO Corporation Common Stock,8807893847,United States,,693137,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,0,United States,2006,69373,Finance,Trusts Except Educational Religious and Charitable
AGEN,Agenus Inc. Common Stock,136149026,United States,2000,1457491,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,493190,United States,2021,648525,Consumer Discretionary,Military/Government/Technical
AGI,Alamos Gold Inc. Class A Common Shares,5947594877,Canada,2015,3895799,Basic Materials,Precious Metals
AGIO,Agios Pharmaceuticals Inc. Common Stock,1644261223,United States,2013,617987,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,1826555821,United States,2021,5916013,Health Care,Managed Health Care
AGM,Federal Agricultural Mortgage Corporation Common Stock,1944881970,United States,,42024,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,,United States,,12159,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,United States,,9291,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,United States,,2467,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,United States,,11352,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,,United States,,8627,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,42167747,Hong Kong,2018,168207,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,6345488237,United States,2008,13499516,Real Estate,Real Estate Investment Trusts
